Arpabet,Normalized,IPA,Type,Phone Sets,Lexical Set,Example,Example Transcription,Comments
,,,,,,,,British English (Received Pronunciation) arpabet phone table
,,,,,,,,
,,,,,,,,Copyright (C) 2015 Reece H. Dunn
,,,,,,,,
,,,,,,,,This file is part of cmudict-tools.
,,,,,,,,
,,,,,,,,cmudict-tools is free software: you can redistribute it and/or modify
,,,,,,,,it under the terms of the GNU General Public License as published by
,,,,,,,,"the Free Software Foundation, either version 3 of the License, or"
,,,,,,,,(at your option) any later version.
,,,,,,,,
,,,,,,,,"cmudict-tools is distributed in the hope that it will be useful,"
,,,,,,,,but WITHOUT ANY WARRANTY; without even the implied warranty of
,,,,,,,,MERCHANTABILITY or FITNESS FOR A PARTICULAR PURPOSE.  See the
,,,,,,,,GNU General Public License for more details.
,,,,,,,,
,,,,,,,,You should have received a copy of the GNU General Public License
,,,,,,,,"along with cmudict-tools.  If not, see <http://www.gnu.org/licenses/>."
-,,.,prosody,arpabet;ipa,,,,Syllable break
A,AA,,vowel,cepstral,PALM,odd,A1 D,
AA,,ɑː,vowel,arpabet;ipa,PALM,odd,AA1 D,
AE,,æ,vowel,arpabet;ipa;cepstral,TRAP,at,AE1 T,
AH,,ʌ,vowel,arpabet;ipa;cepstral,STRUT,hut,HH AH1 T,
AO,,ɔː,vowel,arpabet;ipa;cepstral,THOUGHT,ought,AO1 T,
AW,,aʊ̯,vowel,arpabet;ipa;cepstral,MOUTH,cow,K AW1,
AX,,ə,schwa,arpabet;ipa,COMMA,ago,AX G OW1,
AXR,,,schwa,arpabet;ipa,LETTER,bigger,B IH1 G AXR,
AY,,aɪ̯,vowel,arpabet;ipa;cepstral,PRICE,hide,HH AY1 D,
B,,b,stop,arpabet;ipa;cepstral,,be,B IY1,
CH,,t͡ʃ,affricate,arpabet;ipa;cepstral,,cheese,CH IY1 Z,
D,,d,stop,arpabet;ipa;cepstral,,dee,D IY1,
DH,,ð,fricative,arpabet;ipa;cepstral,,thee,DH IY1,
DX,,ɾ,stop,arpabet;ipa,,button,B AH1 DX AH0 N,Tapped D
E@,EA,,vowel,cepstral,SQUARE,pair,P E@1 R,
EA,,ɛə̯,vowel,arpabet;ipa,SQUARE,pair,P EA1 R,
